"Data Source","World Development Indicators",

"Last Updated Date","2019-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.213180541992","110.78818","109.44096","111.01083","109.2143","110.83905","111.37672","114.25115","115.21158","113.09161","113.80179","113.7943","105.2559","104.0871","116.0393","117.1081","","","","","",
"Afghanistan","AFG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","31.1765899658203","32.0076103210449","32.261890411377","32.5842208862305","33.1082992553711","34.1851997375488","35.2320518493652","36.1114883422852","37.637020111084","","44.1333694458008","47.7117004394531","17.3088207244873","","21.99169921875","23.9128494262695","25.8516693115234","","32.5450096130371","30.2520008087158","29.0414199829102","27.4142208099365","","29.1031494140625","40.0001411437988","42.7514305114746","","","31.0533504486084","25.3079700469971","20.95758","20.88291","68.98685","93.36218","104.66382","98.09989","101.69785","98.93351","100.77973","96.8964","100.0717","97.64164","103.4924","104.4984","105.9197","105.7785","","102.3105","","",
"Angola","AGO","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","58.5702705383301","64.2982177734375","67.9073333740234","75.8887710571289","","","","","","142.744094848633","123.538421630859","114.47566986084","103.944023132324","91.8241424560547","73.3791275024414","79.3919372558594","79.4646835327148","77.8654632568359","77.5963592529297","73.0395889282227","66.8043670654297","64.2471466064453","","","","","","71.5319519042969","","","","","","","","","98.97358","105.18021","104.13057","105.781","119.5301","","","","113.478","","","","",
"Albania","ALB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","119.329742431641","","114.955192565918","112.151069641113","107.443969726563","104.951957702637","103.527709960938","102.566459655762","103.489356994629","103.677833557129","103.563209533691","101.456420898438","99.5847702026367","99.4375076293945","99.4517517089844","101.23314666748","99.5558700561523","98.520263671875","101.528793334961","104.043838500977","106.301818847656","108.019882202148","107.171157836914","105.73664855957","104.19619","102.96737","101.41151","100.00514","98.178","100.67604","97.87571","96.34563","95.6825","93.10456","93.49047","95.00608","97.58513","99.98391","104.108","105.543","105.5539","107.0466","106.9934","",
"Andorra","AND","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","88.5691070556641","","","","","","","","106.442657470703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","67.2624893188477","67.3558731079102","68.8903121948242","70.1149520874023","70.4356231689453","71.7698135375977","73.5236892700195","74.3847274780273","74.6695022583008","76.4402313232422","77.6474761962891","77.8372421264648","78.6748123168945","79.5175170898438","80.4693832397461","80.4117736816406","81.1511611938477","82.3591384887695","82.8499069213867","82.761589050293","83.3796463012695","83.8609085083008","81.352409362793","81.967399597168","84.5563812255859","83.3712463378906","85.6690216064453","86.3076400756836","86.8734436035156","88.0145492553711","88.6682662963867","89.4653701782227","90.6729736328125","91.6573104858398","92.0426788330078","92.5601501464844","93.5451278686523","94.0521087646484","94.9577331542969","95.2888107299805","96.01291","95.59116","97.51347","96.37268","95.9846","96.22816","96.11266","95.5207","95.66943","",
"United Arab Emirates","ARE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","80.0647506713867","86.0388488769531","87.6293106079102","85.5717315673828","84.6658935546875","94.425651550293","99.1398620605469","97.7949523925781","93.8369674682617","91.5347213745117","88.5028305053711","92.6396026611328","93.1924285888672","93.8544311523438","93.4890365600586","94.3054122924805","95.7828674316406","98.8788604736328","103.495552062988","107.339332580566","107.838012695313","102.857879638672","100.094017028809","100.342346191406","101.063629150391","98.0754699707031","93.895378112793","90.3612289428711","","","","","","","","","101.58983","","","","","99.94344","98.66689","103.0735","111.5428","108.6727","122.265","","",
"Argentina","ARG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","105.821311950684","106.506286621094","106.038307189941","105.592231750488","106.32186126709","106.099891662598","105.753059387207","106.66185760498","106.277099609375","106.766578674316","106.895767211914","107.608009338379","107.83699798584","","106.028717041016","106.174377441406","107.024520874023","107.391807556152","107.966346740723","","106.91242980957","108.99739074707","","","110.97087097168","","110.220222473145","107.086303710938","111.541656494141","114.496871948242","115.69413","116.25017","116.79843","114.49467","115.80605","115.29915","117.2033","118.05111","118.59346","117.90598","116.9758","115.6147","114.2272","112.0119","111.4597","111.3034","110.7392","109.7415","","",
"Armenia","ARM","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104.345497131348","101.140991210938","104.568000793457","96.5057525634766","92.4247512817383","93.2752990722656","126.900230407715","129.164047241211","133.571487426758","98.66373","102.13005","95.37494","94.19894","94.92137","95.44106","100.1558","113.28762","114.51868","110.84678","99.06499","98.47586","98.91774","98.44946","96.86599","95.00365","94.5179","94.08352","92.71525","",
"American Samoa","ASM","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
